node-93.92,oracle jdk,1.8.0_161
node-88.94,oracle jdk,1.8.0_291
node-42.127,oracle jdk,1.8.0_171
node-137.187,oracle jdk,1.8.0_171
node-106.221,oracle jdk,1.8.0_291
node-50.220,oracle jdk,1.8.0_291
node-171.164,oracle jdk,1.8.0_171
node-210.82,oracle jdk,1.8.0_171
node-77.106,oracle jdk,1.8.0_161
node-189.99,oracle jdk,1.8.0_161
node-171.62,oracle jdk,1.8.0_171
node-187.192,oracle jdk,1.8.0_161
node-82.227,oracle jdk,1.8.0_161
node-99.16,oracle jdk,1.8.0_161
node-19.181,oracle jdk,1.8.0_161
node-148.111,oracle jdk,1.8.0_291
node-62.58,oracle jdk,1.8.0_161
node-104.213,oracle jdk,1.8.0_291
node-203.171,oracle jdk,1.8.0_291
node-51.163,oracle jdk,1.8.0_161
node-17.58,oracle jdk,1.8.0_291
node-6.125,oracle jdk,1.8.0_171
node-189.249,oracle jdk,1.8.0_291
node-147.230,oracle jdk,1.8.0_291
node-47.50,oracle jdk,1.8.0_291
node-94.42,oracle jdk,1.8.0_291
node-130.243,oracle jdk,1.8.0_291
node-144.3,oracle jdk,1.8.0_161
node-38.213,oracle jdk,1.8.0_291
node-79.46,oracle jdk,1.8.0_291
node-82.44,oracle jdk,1.8.0_291
node-226.240,oracle jdk,1.8.0_291
node-27.82,oracle jdk,1.8.0_161
node-44.124,oracle jdk,1.8.0_291
node-27.11,oracle jdk,1.8.0_291
node-191.120,oracle jdk,1.8.0_171
node-137.146,oracle jdk,1.8.0_291
node-108.242,oracle jdk,1.8.0_291
node-41.126,oracle jdk,1.8.0_291
node-220.81,oracle jdk,1.8.0_291
node-231.60,oracle jdk,1.8.0_291
node-224.209,oracle jdk,1.8.0_161
node-19.1,oracle jdk,1.8.0_291
node-76.89,oracle jdk,1.8.0_171
node-9.36,oracle jdk,1.8.0_291
node-243.226,oracle jdk,1.8.0_291
node-70.16,oracle jdk,1.8.0_291
node-23.159,oracle jdk,1.8.0_161
node-90.12,oracle jdk,1.8.0_291
node-71.47,oracle jdk,1.8.0_291
node-52.115,oracle jdk,1.8.0_291
node-40.114,oracle jdk,1.8.0_291
node-237.165,oracle jdk,1.8.0_291
node-95.78,oracle jdk,1.8.0_291
node-188.83,oracle jdk,1.8.0_291
node-14.118,oracle jdk,1.8.0_291
node-97.105,oracle jdk,1.8.0_291
node-224.218,oracle jdk,1.8.0_291
node-12.95,oracle jdk,1.8.0_291
node-166.4,oracle jdk,1.8.0_291
node-32.56,oracle jdk,1.8.0_291
node-192.166,oracle jdk,1.8.0_171
node-116.227,oracle jdk,1.8.0_291
node-26.122,oracle jdk,1.8.0_291
node-11.177,oracle jdk,1.8.0_291
node-67.116,oracle jdk,1.8.0_291
node-43.189,oracle jdk,1.8.0_291
node-23.1,oracle jdk,1.8.0_291
node-93.198,oracle jdk,1.8.0_291
node-161.39,oracle jdk,1.8.0_291
node-241.149,oracle jdk,1.8.0_291
node-178.58,oracle jdk,1.8.0_291
node-136.234,oracle jdk,1.8.0_291
node-72.152,oracle jdk,1.8.0_291
node-3.177,oracle jdk,1.8.0_291
node-48.80,oracle jdk,1.8.0_291
node-115.127,oracle jdk,1.8.0_291
node-19.164,oracle jdk,1.8.0_291
node-59.116,oracle jdk,1.8.0_291
node-94.160,oracle jdk,1.8.0_291
node-110.93,oracle jdk,1.8.0_291
node-46.182,oracle jdk,1.8.0_291
node-179.33,oracle jdk,1.8.0_291
node-228.13,oracle jdk,1.8.0_291
node-94.35,oracle jdk,1.8.0_291
node-60.213,oracle jdk,1.8.0_291
node-188.173,oracle jdk,1.8.0_291
node-229.137 ,oracle jdk,1.8.0_291
node-111.240,oracle jdk,1.8.0_291
node-7.196,oracle jdk,1.8.0_291
node-128.113,oracle jdk,1.8.0_161
node-229.6,oracle jdk,1.8.0_291
node-59.41,oracle jdk,1.8.0_291
node-129.19,oracle jdk,1.8.0_291
node-244.176,oracle jdk,1.8.0_291
node-161.1,oracle jdk,1.8.0_291
node-207.68,oracle jdk,1.8.0_291
node-160.185,oracle jdk,1.8.0_291
node-131.82,oracle jdk,1.8.0_291
node-155.121,oracle jdk,1.8.0_291
node-139.72,oracle jdk,1.8.0_291
node-230.203,oracle jdk,1.8.0_291
node-193.235,oracle jdk,1.8.0_291
node-88.113,open jdk,1.8.0_412
node-119.63,oracle jdk,1.8.0_291
node-79.38,oracle jdk,1.8.0_291
node-171.167,oracle jdk,1.8.0_291
node-214.7,oracle jdk,1.8.0_291
node-5.101,oracle jdk,1.8.0_291
node-142.160,oracle jdk,1.8.0_291
node-118.138,oracle jdk,1.8.0_291
node-248.26,oracle jdk,1.8.0_291
node-230.183,oracle jdk,1.8.0_291
node-6.52,oracle jdk,1.8.0_291
node-165.102,oracle jdk,1.8.0_291
node-11.0,oracle jdk,1.8.0_161
node-55.53,open jdk,1.8.0_412
node-15.40,oracle jdk,1.8.0_291
node-252.41,oracle jdk,1.8.0_291
node-150.131,oracle jdk,1.8.0_291
node-90.139,open jdk,9.0.4
node-151.129,oracle jdk,1.8.0_161
node-149.86,oracle jdk,1.8.0_161
node-99.110,oracle jdk,1.8.0_291
node-38.106,oracle jdk,1.8.0_291
node-207.138,oracle jdk,1.8.0_291
node-31.102,oracle jdk,1.8.0_291